t_abs_s,force_N,state,block,trial_idx
202.56683,1.7385,idle,,0
202.570751,1.7385,idle,,0
202.574141,1.7385,idle,,0
202.582427,1.7385,idle,,0
202.590472,1.7385,idle,,0
202.59899,1.7385,idle,,0
202.607359,1.7385,idle,,0
202.615625,1.7385,idle,,0
202.623775,1.7385,idle,,0
202.632241,1.7385,idle,,0
202.64067,1.6731,idle,,0
202.648807,1.6731,idle,,0
202.657453,1.6731,idle,,0
202.665653,1.6731,idle,,0
202.6748,1.6731,idle,,0
202.682349,1.6731,idle,,0
202.691251,1.6731,idle,,0
202.699362,1.6731,idle,,0
202.707354,1.6731,idle,,0
202.715605,1.6731,idle,,0
202.723917,1.6731,idle,,0
202.732389,1.6731,idle,,0
202.740638,1.6731,idle,,0
202.749095,1.6731,idle,,0
202.757367,1.6731,idle,,0
202.765642,1.6731,idle,,0
202.774069,1.6731,idle,,0
202.782374,1.6731,idle,,0
202.790754,1.6731,idle,,0
202.799032,1.6731,idle,,0
202.807504,1.6731,idle,,0
202.815605,1.6731,idle,,0
202.82402,1.6731,idle,,0
202.831968,1.6731,idle,,0
202.840462,1.6076,idle,,0
202.848843,1.6076,idle,,0
202.857396,1.6076,idle,,0
202.865459,1.6076,idle,,0
202.874199,1.6076,idle,,0
202.882318,1.6076,idle,,0
202.892465,1.6076,idle,,0
202.898714,1.6076,idle,,0
202.907324,1.6076,idle,,0
202.915449,1.6076,idle,,0
202.923498,1.6076,idle,,0
202.932676,1.6076,idle,,0
202.94027,1.8858,idle,,0
202.948801,1.8858,idle,,0
202.957234,1.8858,idle,,0
202.965655,1.8858,idle,,0
202.973964,1.8858,idle,,0
202.982547,1.8858,idle,,0
202.990207,1.8858,idle,,0
202.998679,1.8858,idle,,0
203.006873,1.8858,idle,,0
203.01565,1.8858,idle,,0
203.023867,1.8858,idle,,0
203.03212,1.8858,idle,,0
203.040466,1.804,idle,,0
203.048874,1.804,idle,,0
203.057382,1.804,idle,,0
203.065656,1.804,idle,,0
203.073925,1.804,idle,,0
203.082059,1.804,idle,,0
203.09034,1.804,idle,,0
203.098809,1.804,idle,,0
203.107083,1.804,idle,,0
203.115317,1.804,idle,,0
203.124647,1.804,idle,,0
203.132695,1.804,idle,,0
203.141166,1.804,idle,,0
203.148895,1.804,idle,,0
203.157214,1.804,idle,,0
203.165628,1.804,idle,,0
203.17383,1.804,idle,,0
203.182154,1.804,idle,,0
203.190513,1.804,idle,,0
203.198751,1.804,idle,,0
203.207516,1.804,idle,,0
203.2169,1.804,idle,,0
203.224385,1.804,idle,,0
203.23216,1.804,idle,,0
203.240367,1.804,idle,,0
203.248923,1.804,idle,,0
203.257095,1.804,idle,,0
203.265157,1.804,idle,,0
203.273619,1.804,idle,,0
203.281819,1.804,idle,,0
203.290324,1.804,idle,,0
203.298739,1.804,idle,,0
203.307191,1.804,idle,,0
203.315374,1.804,idle,,0
203.323853,1.804,idle,,0
203.332201,1.804,idle,,0
203.340427,1.7876,idle,,0
203.348827,1.7876,idle,,0
203.357212,1.7876,idle,,0
203.365405,1.7876,idle,,0
203.373852,1.7876,idle,,0
203.381968,1.7876,idle,,0
203.39053,1.7876,idle,,0
203.398939,1.7876,idle,,0
203.407263,1.7876,idle,,0
203.415622,1.7876,idle,,0
203.424499,1.7876,idle,,0
203.432395,1.7876,idle,,0
203.440858,1.7876,idle,,0
203.448894,1.7876,idle,,0
203.457408,1.7876,idle,,0
203.465566,1.7876,idle,,0
203.473854,1.7876,idle,,0
203.481837,1.7876,idle,,0
203.490467,1.7876,idle,,0
203.498456,1.7876,idle,,0
203.507165,1.7876,idle,,0
203.51541,1.7876,idle,,0
203.524012,1.7876,idle,,0
203.531774,1.7876,idle,,0
203.540398,1.8367,idle,,0
203.548529,1.8367,idle,,0
203.556947,1.8367,idle,,0
203.565335,1.8367,idle,,0
203.573678,1.8367,idle,,0
203.582093,1.8367,idle,,0
203.590492,1.8367,idle,,0
203.598671,1.8367,idle,,0
203.607328,1.8367,idle,,0
203.615701,1.8367,idle,,0
203.62381,1.8367,idle,,0
203.631995,1.8367,idle,,0
203.640255,1.8367,idle,,0
203.648569,1.8367,idle,,0
203.656955,1.8367,idle,,0
203.665191,1.8367,idle,,0
203.673398,1.8367,idle,,0
203.682707,1.8367,idle,,0
203.690553,1.8367,idle,,0
203.699638,1.8367,idle,,0
203.706996,1.8367,idle,,0
203.715335,1.8367,idle,,0
203.723729,1.8367,idle,,0
203.731802,1.8367,idle,,0
203.740221,1.9349,idle,,0
203.748905,1.9349,idle,,0
203.75654,1.9349,idle,,0
203.765725,1.9349,idle,,0
203.773431,1.9349,idle,,0
203.782015,1.9349,idle,,0
203.79048,1.9349,idle,,0
203.798666,1.9349,idle,,0
203.806772,1.9349,idle,,0
203.81502,1.9349,idle,,0
