t_abs_s,force_N,state,block,trial_idx
187.315009,1.5585,idle,,0
187.321616,1.5585,idle,,0
187.324946,1.5585,idle,,0
187.32964,1.5585,idle,,0
187.338072,1.5585,idle,,0
187.346227,1.5585,idle,,0
187.354725,1.5585,idle,,0
187.362918,1.5585,idle,,0
187.371272,1.5585,idle,,0
187.379586,1.5585,idle,,0
187.387968,1.5421,idle,,0
187.396259,1.5421,idle,,0
187.404724,1.5421,idle,,0
187.414044,1.5421,idle,,0
187.422088,1.5421,idle,,0
187.430127,1.5421,idle,,0
187.438551,1.5421,idle,,0
187.447253,1.5421,idle,,0
187.455328,1.5421,idle,,0
187.463882,1.5421,idle,,0
187.471952,1.5421,idle,,0
187.479903,1.5421,idle,,0
187.488582,1.5421,idle,,0
187.496695,1.5421,idle,,0
187.504774,1.5421,idle,,0
187.513418,1.5421,idle,,0
187.521495,1.5421,idle,,0
187.529497,1.5421,idle,,0
187.538161,1.5421,idle,,0
187.546627,1.5421,idle,,0
187.554429,1.5421,idle,,0
187.563089,1.5421,idle,,0
187.571484,1.5421,idle,,0
187.579238,1.5421,idle,,0
187.588121,1.5912,idle,,0
187.596478,1.5912,idle,,0
187.604599,1.5912,idle,,0
187.613484,1.5912,idle,,0
187.621389,1.5912,idle,,0
187.629536,1.5912,idle,,0
187.63831,1.5912,idle,,0
187.646246,1.5912,idle,,0
187.654834,1.5912,idle,,0
187.663009,1.5912,idle,,0
187.671295,1.5912,idle,,0
187.679613,1.5912,idle,,0
187.687859,1.5421,idle,,0
187.696165,1.5421,idle,,0
187.704476,1.5421,idle,,0
187.712894,1.5421,idle,,0
187.721143,1.5421,idle,,0
187.729465,1.5421,idle,,0
187.738836,1.5421,idle,,0
187.746802,1.5421,idle,,0
187.754773,1.5421,idle,,0
187.763409,1.5421,idle,,0
187.771783,1.5421,idle,,0
187.780055,1.5421,idle,,0
187.788167,1.5749,idle,,0
187.796885,1.5749,idle,,0
187.804842,1.5749,idle,,0
187.813296,1.5749,idle,,0
187.821834,1.5749,idle,,0
187.829857,1.5749,idle,,0
187.838292,1.5749,idle,,0
187.846819,1.5749,idle,,0
187.854962,1.5749,idle,,0
187.863493,1.5749,idle,,0
187.871818,1.5749,idle,,0
187.87954,1.5749,idle,,0
187.888208,1.5258,idle,,0
187.896579,1.5258,idle,,0
187.904694,1.5258,idle,,0
187.913139,1.5258,idle,,0
187.921257,1.5258,idle,,0
187.929729,1.5258,idle,,0
187.938185,1.5258,idle,,0
187.946189,1.5258,idle,,0
187.954663,1.5258,idle,,0
187.963018,1.5258,idle,,0
187.971271,1.5258,idle,,0
187.979513,1.5258,idle,,0
187.988189,1.4276,idle,,0
187.99667,1.4276,idle,,0
188.004648,1.4276,idle,,0
188.013041,1.4276,idle,,0
188.02101,1.4276,idle,,0
188.029392,1.4276,idle,,0
188.038252,1.4276,idle,,0
188.046522,1.4276,idle,,0
188.054556,1.4276,idle,,0
188.062736,1.4276,idle,,0
188.071419,1.4276,idle,,0
188.079546,1.4276,idle,,0
188.088295,1.4112,idle,,0
188.096239,1.4112,idle,,0
188.104434,1.4112,idle,,0
188.113346,1.4112,idle,,0
188.121374,1.4112,idle,,0
188.129832,1.4112,idle,,0
188.138255,1.4112,idle,,0
188.146219,1.4112,idle,,0
188.154485,1.4112,idle,,0
188.16294,1.4112,idle,,0
188.171267,1.4112,idle,,0
188.179879,1.4112,idle,,0
