t_abs_s,force_N,state,block,trial_idx
187.809412,0.0365,idle,,0
187.812861,0.0365,idle,,0
187.815054,0.0365,idle,,0
187.819467,0.0365,idle,,0
187.827729,0.0365,idle,,0
187.836148,0.0365,idle,,0
187.844462,0.0365,idle,,0
187.852845,0.0365,idle,,0
187.861246,0.0365,idle,,0
187.869902,0.0365,idle,,0
187.878058,0.0365,idle,,0
187.886192,-0.0289,idle,,0
187.895031,-0.0289,idle,,0
187.902906,-0.0289,idle,,0
187.911275,-0.0289,idle,,0
187.919566,-0.0289,idle,,0
187.927922,-0.0289,idle,,0
187.936365,-0.0289,idle,,0
187.944617,-0.0289,idle,,0
187.95283,-0.0289,idle,,0
187.961179,-0.0289,idle,,0
187.969821,-0.0289,idle,,0
187.978108,-0.0289,idle,,0
187.986133,-0.0453,idle,,0
187.9947,-0.0453,idle,,0
188.003106,-0.0453,idle,,0
188.011408,-0.0453,idle,,0
188.020151,-0.0453,idle,,0
188.028074,-0.0453,idle,,0
188.036451,-0.0453,idle,,0
188.044555,-0.0453,idle,,0
188.052853,-0.0453,idle,,0
188.061077,-0.0453,idle,,0
188.069473,-0.0453,idle,,0
188.077776,-0.0453,idle,,0
188.086163,-0.1598,idle,,0
188.094877,-0.1598,idle,,0
188.103167,-0.1598,idle,,0
188.111099,-0.1598,idle,,0
188.119717,-0.1598,idle,,0
188.127729,-0.1598,idle,,0
188.136067,-0.1598,idle,,0
188.1445,-0.1598,idle,,0
188.153057,-0.1598,idle,,0
188.161581,-0.1598,idle,,0
188.169737,-0.1598,idle,,0
188.17808,-0.1598,idle,,0
188.186312,0.0202,idle,,0
188.194784,0.0202,idle,,0
188.203269,0.0202,idle,,0
188.211229,0.0202,idle,,0
188.219772,0.0202,idle,,0
188.227792,0.0202,idle,,0
188.235902,0.0202,idle,,0
188.244302,0.0202,idle,,0
188.252669,0.0202,idle,,0
188.261255,0.0202,idle,,0
188.269376,0.0202,idle,,0
188.277773,0.0202,idle,,0
188.286093,0.0693,idle,,0
188.294456,0.0693,idle,,0
188.302873,0.0693,idle,,0
188.311256,0.0693,idle,,0
188.319497,0.0693,idle,,0
188.327898,0.0693,idle,,0
188.336108,0.0693,idle,,0
188.344349,0.0693,idle,,0
188.352746,0.0693,idle,,0
188.361039,0.0693,idle,,0
188.369392,0.0693,idle,,0
188.377815,0.0693,idle,,0
188.386062,0.102,idle,,0
188.394764,0.102,idle,,0
188.403211,0.102,idle,,0
188.411066,0.102,idle,,0
188.419471,0.102,idle,,0
188.428074,0.102,idle,,0
188.435985,0.102,idle,,0
188.445056,0.102,idle,,0
188.452755,0.102,idle,,0
188.46105,0.102,idle,,0
188.469375,0.102,idle,,0
188.477904,0.102,idle,,0
188.486108,0.0529,idle,,0
188.494387,0.0529,idle,,0
188.502765,0.0529,idle,,0
188.511397,0.0529,idle,,0
188.519543,0.0529,idle,,0
188.527956,0.0529,idle,,0
188.536573,0.0529,idle,,0
188.544957,0.0529,idle,,0
188.552554,0.0529,idle,,0
188.561454,0.0529,idle,,0
188.569419,0.0529,idle,,0
188.577652,0.0529,idle,,0
188.586062,0.0365,idle,,0
188.594381,0.0365,idle,,0
188.602825,0.0365,idle,,0
188.610883,0.0365,idle,,0
188.619343,0.0365,idle,,0
188.627577,0.0365,idle,,0
188.635762,0.0365,idle,,0
188.644197,0.0365,idle,,0
188.652649,0.0365,idle,,0
188.661093,0.0365,idle,,0
188.669386,0.0365,idle,,0
188.677674,0.0365,idle,,0
188.685883,0.0038,idle,,0
188.694253,0.0038,idle,,0
188.702477,0.0038,idle,,0
188.711008,0.0038,idle,,0
188.719483,0.0038,idle,,0
188.727922,0.0038,idle,,0
188.736097,0.0038,idle,,0
188.744411,0.0038,idle,,0
188.752613,0.0038,idle,,0
188.760887,0.0038,idle,,0
188.769196,0.0038,idle,,0
188.777555,0.0038,idle,,0
188.785982,0.0038,idle,,0
188.794603,0.0038,idle,,0
188.803313,0.0038,idle,,0
188.811298,0.0038,idle,,0
188.819398,0.0038,idle,,0
188.828067,0.0038,idle,,0
188.836096,0.0038,idle,,0
188.84442,0.0038,idle,,0
188.852627,0.0038,idle,,0
188.861081,0.0038,idle,,0
188.869341,0.0038,idle,,0
188.877693,0.0038,idle,,0
188.886057,0.0529,idle,,0
188.894558,0.0529,idle,,0
188.903151,0.0529,idle,,0
188.911078,0.0529,idle,,0
188.919578,0.0529,idle,,0
188.927585,0.0529,idle,,0
188.936125,0.0529,idle,,0
188.944413,0.0529,idle,,0
188.952634,0.0529,idle,,0
188.961143,0.0529,idle,,0
188.969294,0.0529,idle,,0
188.977901,0.0529,idle,,0
188.986097,0.0529,idle,,0
188.994227,0.0529,idle,,0
189.002494,0.0529,idle,,0
189.010816,0.0529,idle,,0
189.01924,0.0529,idle,,0
189.027585,0.0529,idle,,0
189.035834,0.0529,idle,,0
189.044294,0.0529,idle,,0
189.052704,0.0529,idle,,0
189.061018,0.0529,idle,,0
189.069355,0.0529,idle,,0
189.078237,0.0529,idle,,0
189.085772,-0.0289,idle,,0
189.094541,-0.0289,idle,,0
189.10258,-0.0289,idle,,0
189.111096,-0.0289,idle,,0
189.119267,-0.0289,idle,,0
189.127727,-0.0289,idle,,0
189.135783,-0.0289,idle,,0
189.1445,-0.0289,idle,,0
189.153424,-0.0289,idle,,0
189.160928,-0.0289,idle,,0
189.16938,-0.0289,idle,,0
189.177521,-0.0289,idle,,0
189.185764,0.0693,idle,,0
189.194241,0.0693,idle,,0
189.202548,0.0693,idle,,0
189.210793,0.0693,idle,,0
189.219213,0.0693,idle,,0
189.227465,0.0693,idle,,0
189.235825,0.0693,idle,,0
189.244202,0.0693,idle,,0
189.25254,0.0693,idle,,0
189.260864,0.0693,idle,,0
189.26935,0.0693,idle,,0
189.277054,0.0693,idle,,0
189.28553,0.0038,idle,,0
189.294112,0.0038,idle,,0
189.302215,0.0038,idle,,0
189.310594,0.0038,idle,,0
189.319049,0.0038,idle,,0
189.327372,0.0038,idle,,0
189.335969,0.0038,idle,,0
189.344538,0.0038,idle,,0
189.352715,0.0038,idle,,0
189.360916,0.0038,idle,,0
189.369553,0.0038,idle,,0
189.37786,0.0038,idle,,0
189.385725,-0.0126,idle,,0
189.394303,-0.0126,idle,,0
189.402747,-0.0126,idle,,0
189.410794,-0.0126,idle,,0
189.419414,-0.0126,idle,,0
189.427431,-0.0126,idle,,0
189.435805,-0.0126,idle,,0
189.444152,-0.0126,idle,,0
189.452435,-0.0126,idle,,0
189.462414,-0.0126,idle,,0
189.469184,-0.0126,idle,,0
189.477341,-0.0126,idle,,0
189.485613,0.0856,idle,,0
189.494101,0.0856,idle,,0
189.502628,0.0856,idle,,0
189.510883,0.0856,idle,,0
189.519361,0.0856,idle,,0
189.527871,0.0856,idle,,0
189.535809,0.0856,idle,,0
189.544043,0.0856,idle,,0
189.553379,0.0856,idle,,0
189.561347,0.0856,idle,,0
189.569606,0.0856,idle,,0
189.577434,0.0856,idle,,0
189.585809,0.0856,idle,,0
189.593924,0.0856,idle,,0
189.602422,0.0856,idle,,0
189.610724,0.0856,idle,,0
189.61907,0.0856,idle,,0
189.627467,0.0856,idle,,0
189.635712,0.0856,idle,,0
189.644314,0.0856,idle,,0
189.652389,0.0856,idle,,0
189.661042,0.0856,idle,,0
189.669115,0.0856,idle,,0
189.677636,0.0856,idle,,0
189.685692,0.0529,idle,,0
189.693997,0.0529,idle,,0
189.702607,0.0529,idle,,0
189.710596,0.0529,idle,,0
189.719383,0.0529,idle,,0
189.727347,0.0529,idle,,0
189.735567,0.0529,idle,,0
189.744237,0.0529,idle,,0
189.752491,0.0529,idle,,0
189.760758,0.0529,idle,,0
189.769267,0.0529,idle,,0
189.777467,0.0529,idle,,0
189.785666,-0.0616,idle,,0
189.794098,-0.0616,idle,,0
189.802466,-0.0616,idle,,0
189.810555,-0.0616,idle,,0
189.819377,-0.0616,idle,,0
189.827422,-0.0616,idle,,0
189.835713,-0.0616,idle,,0
189.844141,-0.0616,idle,,0
189.852397,-0.0616,idle,,0
189.860668,-0.0616,idle,,0
189.868935,-0.0616,idle,,0
189.877603,-0.0616,idle,,0
189.885674,-0.078,idle,,0
189.894068,-0.078,idle,,0
189.902166,-0.078,idle,,0
189.910668,-0.078,idle,,0
189.919425,-0.078,idle,,0
189.927411,-0.078,idle,,0
189.935637,-0.078,idle,,0
189.94412,-0.078,idle,,0
189.952517,-0.078,idle,,0
189.960599,-0.078,idle,,0
189.969011,-0.078,idle,,0
189.977328,-0.078,idle,,0
189.985358,-0.1762,idle,,0
189.993946,-0.1762,idle,,0
190.002301,-0.1762,idle,,0
190.010542,-0.1762,idle,,0
190.019076,-0.1762,idle,,0
190.02733,-0.1762,idle,,0
190.035565,-0.1762,idle,,0
190.044014,-0.1762,idle,,0
190.052394,-0.1762,idle,,0
190.060609,-0.1762,idle,,0
190.068931,-0.1762,idle,,0
190.077129,-0.1762,idle,,0
190.085381,-0.0289,idle,,0
190.093885,-0.0289,idle,,0
190.102206,-0.0289,idle,,0
190.110625,-0.0289,idle,,0
190.119105,-0.0289,idle,,0
190.127501,-0.0289,idle,,0
190.135593,-0.0289,idle,,0
190.144045,-0.0289,idle,,0
190.152462,-0.0289,idle,,0
190.161217,-0.0289,idle,,0
190.168902,-0.0289,idle,,0
190.177443,-0.0289,idle,,0
190.185526,-0.0616,idle,,0
190.193954,-0.0616,idle,,0
190.202263,-0.0616,idle,,0
190.210389,-0.0616,idle,,0
190.219015,-0.0616,idle,,0
190.2274,-0.0616,idle,,0
190.23556,-0.0616,idle,,0
190.24385,-0.0616,idle,,0
190.252351,-0.0616,idle,,0
190.260733,-0.0616,idle,,0
190.269117,-0.0616,idle,,0
190.277856,-0.0616,idle,,0
190.285312,-0.3889,idle,,0
190.293776,-0.3889,idle,,0
190.30225,-0.3889,idle,,0
190.310533,-0.3889,idle,,0
190.318985,-0.3889,idle,,0
190.327262,-0.3889,idle,,0
190.335485,-0.3889,idle,,0
190.344034,-0.3889,idle,,0
190.352523,-0.3889,idle,,0
190.360475,-0.3889,idle,,0
190.368867,-0.3889,idle,,0
190.377539,-0.3889,idle,,0
190.385654,-0.2417,idle,,0
190.393858,-0.2417,idle,,0
190.402671,-0.2417,idle,,0
190.410714,-0.2417,idle,,0
190.418839,-0.2417,idle,,0
190.427362,-0.2417,idle,,0
190.436463,-0.2417,idle,,0
190.444182,-0.2417,idle,,0
190.452702,-0.2417,idle,,0
190.460187,-0.2417,idle,,0
190.468467,-0.2417,idle,,0
190.477226,-0.2417,idle,,0
190.485598,0.0693,idle,,0
190.493573,0.0693,idle,,0
190.501876,0.0693,idle,,0
190.510351,0.0693,idle,,0
190.518471,0.0693,idle,,0
190.526782,0.0693,idle,,0
190.535463,0.0693,idle,,0
190.543621,0.0693,idle,,0
190.55226,0.0693,idle,,0
190.560467,0.0693,idle,,0
190.568702,0.0693,idle,,0
190.577372,0.0693,idle,,0
190.585524,-0.0126,idle,,0
190.593738,-0.0126,idle,,0
190.602186,-0.0126,idle,,0
190.610344,-0.0126,idle,,0
