t_abs_s,force_N,state,block,trial_idx
347.689334,0.0693,idle,,0
347.693959,0.0693,idle,,0
347.696186,0.0693,idle,,0
347.701028,0.0693,idle,,0
347.709844,0.0693,idle,,0
347.717298,0.0693,idle,,0
347.725735,0.0693,idle,,0
347.734257,0.0693,idle,,0
347.742567,0.0693,idle,,0
347.751318,0.0693,idle,,0
347.759467,0.0693,idle,,0
347.767479,0.0693,idle,,0
347.775847,0.0693,idle,,0
347.784537,-0.1107,idle,,0
347.792918,-0.1107,idle,,0
347.801006,-0.1107,idle,,0
347.809638,-0.1107,idle,,0
347.817652,-0.1107,idle,,0
347.825759,-0.1107,idle,,0
347.834238,-0.1107,idle,,0
347.842834,-0.1107,idle,,0
347.851061,-0.1107,idle,,0
347.859225,-0.1107,idle,,0
347.867464,-0.1107,idle,,0
347.875796,-0.1107,idle,,0
347.884371,0.2984,idle,,0
347.892511,0.2984,idle,,0
347.901125,0.2984,idle,,0
347.909447,0.2984,idle,,0
347.917598,0.2984,idle,,0
347.925932,0.2984,idle,,0
347.934845,0.2984,idle,,0
347.942584,0.2984,idle,,0
347.951276,0.2984,idle,,0
347.959398,0.2984,idle,,0
347.967838,0.2984,idle,,0
347.975973,0.2984,idle,,0
347.984393,0.2493,idle,,0
347.992556,0.2493,idle,,0
348.000939,0.2493,idle,,0
348.009415,0.2493,idle,,0
348.017778,0.2493,idle,,0
348.025863,0.2493,idle,,0
348.034388,0.2493,idle,,0
348.042766,0.2493,idle,,0
348.050779,0.2493,idle,,0
348.059245,0.2493,idle,,0
348.067296,0.2493,idle,,0
348.075714,0.2493,idle,,0
348.084014,0.2329,idle,,0
348.092392,0.2329,idle,,0
348.10097,0.2329,idle,,0
348.109152,0.2329,idle,,0
348.117426,0.2329,idle,,0
348.125728,0.2329,idle,,0
348.134035,0.2329,idle,,0
348.142332,0.2329,idle,,0
348.151118,0.2329,idle,,0
348.15895,0.2329,idle,,0
348.167538,0.2329,idle,,0
348.175761,0.2329,idle,,0
348.184325,0.2984,idle,,0
348.192377,0.2984,idle,,0
348.200928,0.2984,idle,,0
348.209315,0.2984,idle,,0
348.217346,0.2984,idle,,0
348.225661,0.2984,idle,,0
348.234277,0.2984,idle,,0
348.242512,0.2984,idle,,0
348.250854,0.2984,idle,,0
348.259384,0.2984,idle,,0
348.267599,0.2984,idle,,0
348.275703,0.2984,idle,,0
348.284088,0.2657,idle,,0
348.292337,0.2657,idle,,0
348.30104,0.2657,idle,,0
348.309198,0.2657,idle,,0
348.317513,0.2657,idle,,0
348.325813,0.2657,idle,,0
348.334215,0.2657,idle,,0
348.342548,0.2657,idle,,0
348.351038,0.2657,idle,,0
348.359481,0.2657,idle,,0
348.367791,0.2657,idle,,0
348.375975,0.2657,idle,,0
348.384194,0.2329,idle,,0
348.392589,0.2329,idle,,0
348.400827,0.2329,idle,,0
348.409396,0.2329,idle,,0
348.417731,0.2329,idle,,0
348.42579,0.2329,idle,,0
348.433869,0.2329,idle,,0
348.442216,0.2329,idle,,0
348.450751,0.2329,idle,,0
348.458832,0.2329,idle,,0
348.467345,0.2329,idle,,0
348.475656,0.2329,idle,,0
348.484226,0.282,idle,,0
348.492462,0.282,idle,,0
348.500779,0.282,idle,,0
348.509251,0.282,idle,,0
348.517478,0.282,idle,,0
348.525651,0.282,idle,,0
348.533881,0.282,idle,,0
348.542621,0.282,idle,,0
348.55054,0.282,idle,,0
348.559557,0.282,idle,,0
348.567175,0.282,idle,,0
348.57548,0.282,idle,,0
348.583945,0.2166,idle,,0
348.59249,0.2166,idle,,0
348.600572,0.2166,idle,,0
348.609252,0.2166,idle,,0
348.617308,0.2166,idle,,0
348.625662,0.2166,idle,,0
348.634142,0.2166,idle,,0
348.642484,0.2166,idle,,0
348.650714,0.2166,idle,,0
348.659364,0.2166,idle,,0
348.667462,0.2166,idle,,0
348.67556,0.2166,idle,,0
348.683939,0.2984,idle,,0
348.692423,0.2984,idle,,0
348.700508,0.2984,idle,,0
348.709475,0.2984,idle,,0
348.71727,0.2984,idle,,0
348.725461,0.2984,idle,,0
348.734231,0.2984,idle,,0
348.742373,0.2984,idle,,0
348.7505,0.2984,idle,,0
348.758918,0.2984,idle,,0
348.76728,0.2984,idle,,0
348.775474,0.2984,idle,,0
348.783982,0.2984,idle,,0
348.792468,0.2984,idle,,0
348.800668,0.2984,idle,,0
348.809206,0.2984,idle,,0
348.817664,0.2984,idle,,0
348.825434,0.2984,idle,,0
348.834057,0.2984,idle,,0
348.842283,0.2984,idle,,0
348.850617,0.2984,idle,,0
348.858778,0.2984,idle,,0
348.867312,0.2984,idle,,0
348.875527,0.2984,idle,,0
348.883872,0.2657,idle,,0
348.892208,0.2657,idle,,0
348.90088,0.2657,idle,,0
348.909206,0.2657,idle,,0
348.917331,0.2657,idle,,0
348.925647,0.2657,idle,,0
348.933869,0.2657,idle,,0
348.942229,0.2657,idle,,0
348.950602,0.2657,idle,,0
348.958914,0.2657,idle,,0
348.967227,0.2657,idle,,0
348.975603,0.2657,idle,,0
348.983845,0.2657,idle,,0
348.992533,0.2657,idle,,0
349.00054,0.2657,idle,,0
349.009048,0.2657,idle,,0
349.017251,0.2657,idle,,0
349.02561,0.2657,idle,,0
349.033897,0.2657,idle,,0
349.042354,0.2657,idle,,0
349.050507,0.2657,idle,,0
349.059101,0.2657,idle,,0
349.068009,0.2657,idle,,0
349.075574,0.2657,idle,,0
349.083689,0.2657,idle,,0
349.09243,0.2657,idle,,0
349.100325,0.2657,idle,,0
349.108889,0.2657,idle,,0
349.117216,0.2657,idle,,0
349.125375,0.2657,idle,,0
349.133779,0.2657,idle,,0
349.142241,0.2657,idle,,0
349.150555,0.2657,idle,,0
349.159008,0.2657,idle,,0
349.167356,0.2657,idle,,0
