t_abs_s,force_N,state,block,trial_idx
206.528916,4.5042,idle,,0
206.532649,4.5042,idle,,0
206.535149,4.5042,idle,,0
206.538942,4.5042,idle,,0
206.547101,4.5042,idle,,0
206.555652,4.5042,idle,,0
206.563965,4.5042,idle,,0
206.572291,4.5042,idle,,0
206.580698,4.5042,idle,,0
206.588736,4.4552,idle,,0
206.597391,4.4552,idle,,0
206.605647,4.4552,idle,,0
206.614187,4.4552,idle,,0
206.622255,4.4552,idle,,0
206.63054,4.4552,idle,,0
206.638911,4.4552,idle,,0
206.647373,4.4552,idle,,0
206.655746,4.4552,idle,,0
206.664013,4.4552,idle,,0
206.67273,4.4552,idle,,0
206.680728,4.4552,idle,,0
206.688951,4.3242,idle,,0
206.697066,4.3242,idle,,0
206.70562,4.3242,idle,,0
206.713682,4.3242,idle,,0
206.722589,4.3242,idle,,0
206.730906,4.3242,idle,,0
206.738874,4.3242,idle,,0
206.747417,4.3242,idle,,0
206.755762,4.3242,idle,,0
206.764097,4.3242,idle,,0
206.772432,4.3242,idle,,0
206.780766,4.3242,idle,,0
206.788653,4.5042,idle,,0
206.79711,4.5042,idle,,0
206.805689,4.5042,idle,,0
206.813676,4.5042,idle,,0
206.822345,4.5042,idle,,0
206.830796,4.5042,idle,,0
206.839215,4.5042,idle,,0
206.847786,4.5042,idle,,0
206.855571,4.5042,idle,,0
206.863997,4.5042,idle,,0
206.872243,4.5042,idle,,0
206.880609,4.5042,idle,,0
206.888889,4.4879,idle,,0
206.897563,4.4879,idle,,0
206.905575,4.4879,idle,,0
206.914525,4.4879,idle,,0
206.922484,4.4879,idle,,0
206.930832,4.4879,idle,,0
206.938944,4.4879,idle,,0
206.94753,4.4879,idle,,0
206.955772,4.4879,idle,,0
206.964139,4.4879,idle,,0
206.972392,4.4879,idle,,0
206.980565,4.4879,idle,,0
206.988907,4.4552,idle,,0
206.996936,4.4552,idle,,0
207.005558,4.4552,idle,,0
207.014593,4.4552,idle,,0
207.022229,4.4552,idle,,0
207.030489,4.4552,idle,,0
207.039168,4.4552,idle,,0
207.047471,4.4552,idle,,0
207.05594,4.4552,idle,,0
207.064089,4.4552,idle,,0
207.072366,4.4552,idle,,0
207.080693,4.4552,idle,,0
207.08923,4.5042,idle,,0
207.097311,4.5042,idle,,0
207.10578,4.5042,idle,,0
207.113754,4.5042,idle,,0
207.12221,4.5042,idle,,0
207.13059,4.5042,idle,,0
207.139181,4.5042,idle,,0
207.147206,4.5042,idle,,0
207.155677,4.5042,idle,,0
207.163854,4.5042,idle,,0
207.172558,4.5042,idle,,0
207.180801,4.5042,idle,,0
207.189241,4.537,idle,,0
207.197504,4.537,idle,,0
207.205397,4.537,idle,,0
207.21486,4.537,idle,,0
207.222189,4.537,idle,,0
207.230477,4.537,idle,,0
207.238604,4.537,idle,,0
207.247191,4.537,idle,,0
207.255576,4.537,idle,,0
207.263842,4.537,idle,,0
207.272344,4.537,idle,,0
207.280604,4.537,idle,,0
207.288635,4.5206,idle,,0
207.297233,4.5206,idle,,0
207.3059,4.5206,idle,,0
207.31395,4.5206,idle,,0
207.322038,4.5206,idle,,0
207.330544,4.5206,idle,,0
207.339108,4.5206,idle,,0
207.347097,4.5206,idle,,0
